sim/none/none                                      Do nothing at all!
sim/engines/throttle_up_6                          Throttle up a bit for engine #6.
sim/engines/throttle_up_7                          Throttle up a bit for engine #7.
sim/engines/throttle_up_8                          Throttle up a bit for engine #8.
sim/engines/prop_down_1                            Prop down a bit for engine #1.
sim/engines/prop_down_2                            Prop down a bit for engine #2.
sim/engines/prop_down_3                            Prop down a bit for engine #3.
sim/engines/prop_down_4                            Prop down a bit for engine #4.
sim/engines/prop_down_5                            Prop down a bit for engine #5.
sim/engines/prop_down_6                            Prop down a bit for engine #6.
sim/engines/prop_down_7                            Prop down a bit for engine #7.
sim/engines/prop_down_8                            Prop down a bit for engine #8.
sim/engines/prop_up_1                              Prop up a bit for engine #1.
sim/engines/prop_up_2                              Prop up a bit for engine #2.
sim/engines/prop_up_3                              Prop up a bit for engine #3.
sim/engines/prop_up_4                              Prop up a bit for engine #4.
sim/engines/prop_up_5                              Prop up a bit for engine #5.
sim/engines/prop_up_6                              Prop up a bit for engine #6.
sim/engines/prop_up_7                              Prop up a bit for engine #7.
sim/engines/prop_up_8                              Prop up a bit for engine #8.
sim/engines/mixture_down_1                         Mixure down a bit for engine #1.
sim/engines/mixture_down_2                         Mixure down a bit for engine #2.
sim/engines/mixture_down_3                         Mixure down a bit for engine #3.
sim/engines/mixture_down_4                         Mixure down a bit for engine #4.
sim/engines/mixture_down_5                         Mixure down a bit for engine #5.
sim/engines/mixture_down_6                         Mixure down a bit for engine #6.
sim/engines/mixture_down_7                         Mixure down a bit for engine #7.
sim/engines/mixture_down_8                         Mixure down a bit for engine #8.
sim/engines/mixture_up_1                           Mixure up a bit for engine #1.
sim/engines/mixture_up_2                           Mixure up a bit for engine #2.
sim/engines/mixture_up_3                           Mixure up a bit for engine #3.
sim/engines/mixture_up_4                           Mixure up a bit for engine #4.
sim/engines/mixture_up_5                           Mixure up a bit for engine #5.
sim/engines/mixture_up_6                           Mixure up a bit for engine #6.
sim/engines/mixture_up_7                           Mixure up a bit for engine #7.
sim/engines/mixture_up_8                           Mixure up a bit for engine #8.
sim/engines/beta_toggle_1                          Toggle Beta prop #1.
sim/engines/beta_toggle_2                          Toggle Beta prop #2.
sim/engines/beta_toggle_3                          Toggle Beta prop #3.
sim/engines/beta_toggle_4                          Toggle Beta prop #4.
sim/engines/beta_toggle_5                          Toggle Beta prop #5.
sim/engines/beta_toggle_6                          Toggle Beta prop #6.
sim/engines/beta_toggle_7                          Toggle Beta prop #7.
sim/engines/beta_toggle_8                          Toggle Beta prop #8.
sim/engines/thrust_reverse_toggle_1                Toggle thrust reversers #1.
sim/engines/thrust_reverse_toggle_2                Toggle thrust reversers #2.
sim/engines/thrust_reverse_toggle_3                Toggle thrust reversers #3.
sim/engines/thrust_reverse_toggle_4                Toggle thrust reversers #4.
sim/engines/thrust_reverse_toggle_5                Toggle thrust reversers #5.
sim/engines/thrust_reverse_toggle_6                Toggle thrust reversers #6.
sim/engines/thrust_reverse_toggle_7                Toggle thrust reversers #7.
sim/engines/thrust_reverse_toggle_8                Toggle thrust reversers #8.
sim/engines/thrust_reverse_hold_1                  Hold thrust reverse at max #1.
sim/engines/thrust_reverse_hold_2                  Hold thrust reverse at max #2.
sim/engines/thrust_reverse_hold_3                  Hold thrust reverse at max #3.
sim/engines/thrust_reverse_hold_4                  Hold thrust reverse at max #4.
sim/engines/thrust_reverse_hold_5                  Hold thrust reverse at max #5.
sim/engines/thrust_reverse_hold_6                  Hold thrust reverse at max #6.
sim/engines/thrust_reverse_hold_7                  Hold thrust reverse at max #7.
sim/engines/thrust_reverse_hold_8                  Hold thrust reverse at max #8.
sim/starters/shut_down_1                           Pull fuel and mags for shut-down #1.
sim/starters/shut_down_2                           Pull fuel and mags for shut-down #2.
sim/starters/shut_down_3                           Pull fuel and mags for shut-down #3.
sim/starters/shut_down_4                           Pull fuel and mags for shut-down #4.
sim/starters/shut_down_5                           Pull fuel and mags for shut-down #5.
sim/starters/shut_down_6                           Pull fuel and mags for shut-down #6.
sim/starters/shut_down_7                           Pull fuel and mags for shut-down #7.
sim/starters/shut_down_8                           Pull fuel and mags for shut-down #8.
sim/flight_controls/cowl_flaps_closed_1            Move cowl flaps 1 closed a bit.
sim/flight_controls/cowl_flaps_closed_2            Move cowl flaps 2 closed a bit.
sim/flight_controls/cowl_flaps_closed_3            Move cowl flaps 3 closed a bit.
sim/flight_controls/cowl_flaps_closed_4            Move cowl flaps 4 closed a bit.
sim/flight_controls/cowl_flaps_closed_5            Move cowl flaps 5 closed a bit.
sim/flight_controls/cowl_flaps_closed_6            Move cowl flaps 6 closed a bit.
sim/flight_controls/cowl_flaps_closed_7            Move cowl flaps 7 closed a bit.
sim/flight_controls/cowl_flaps_closed_8            Move cowl flaps 8 closed a bit.
sim/flight_controls/cowl_flaps_open_1              Move cowl flaps 1 open a bit.
sim/flight_controls/cowl_flaps_open_2              Move cowl flaps 2 open a bit.
sim/flight_controls/cowl_flaps_open_3              Move cowl flaps 3 open a bit.
sim/flight_controls/cowl_flaps_open_4              Move cowl flaps 4 open a bit.
sim/flight_controls/cowl_flaps_open_5              Move cowl flaps 5 open a bit.
sim/flight_controls/cowl_flaps_open_6              Move cowl flaps 6 open a bit.
sim/flight_controls/cowl_flaps_open_7              Move cowl flaps 7 open a bit.
sim/flight_controls/cowl_flaps_open_8              Move cowl flaps 8 open a bit.
sim/fadec/fadec_1_off                              fadec 1 off.
sim/fadec/fadec_2_off                              fadec 2 off.
sim/fadec/fadec_3_off                              fadec 3 off.
sim/fadec/fadec_4_off                              fadec 4 off.
sim/fadec/fadec_5_off                              fadec 5 off.
sim/fadec/fadec_6_off                              fadec 6 off.
sim/fadec/fadec_7_off                              fadec 7 off.
sim/fadec/fadec_8_off                              fadec 8 off.
sim/fadec/fadec_1_on                               fadec 1 on.
sim/fadec/fadec_2_on                               fadec 2 on.
sim/fadec/fadec_3_on                               fadec 3 on.
sim/fadec/fadec_4_on                               fadec 4 on.
sim/fadec/fadec_5_on                               fadec 5 on.
sim/fadec/fadec_6_on                               fadec 6 on.
sim/fadec/fadec_7_on                               fadec 7 on.
sim/fadec/fadec_8_on                               fadec 8 on.
sim/electrical/generator_1_off                     Generator 1 off.
sim/electrical/generator_2_off                     Generator 2 off.
sim/electrical/generator_3_off                     Generator 3 off.
sim/electrical/generator_4_off                     Generator 4 off.
sim/electrical/generator_5_off                     Generator 5 off.
sim/electrical/generator_6_off                     Generator 6 off.
sim/electrical/generator_7_off                     Generator 7 off.
sim/electrical/generator_8_off                     Generator 8 off.
sim/electrical/generator_1_on                      Generator 1 on.
sim/electrical/generator_2_on                      Generator 2 on.
sim/electrical/generator_3_on                      Generator 3 on.
sim/electrical/generator_4_on                      Generator 4 on.
sim/electrical/generator_5_on                      Generator 5 on.
sim/electrical/generator_6_on                      Generator 6 on.
sim/electrical/generator_7_on                      Generator 7 on.
sim/electrical/generator_8_on                      Generator 8 on.
sim/electrical/generator_1_reset                   Generator 1 reset.
sim/electrical/generator_2_reset                   Generator 2 reset.
sim/electrical/generator_3_reset                   Generator 3 reset.
sim/electrical/generator_4_reset                   Generator 4 reset.
sim/electrical/generator_5_reset                   Generator 5 reset.
sim/electrical/generator_6_reset                   Generator 6 reset.
sim/electrical/generator_7_reset                   Generator 7 reset.
sim/electrical/generator_8_reset                   Generator 8 reset.
sim/altair/alternate_air_off_1                     Alternate air #1 off.
sim/altair/alternate_air_off_2                     Alternate air #2 off.
sim/altair/alternate_air_off_3                     Alternate air #3 off.
sim/altair/alternate_air_off_4                     Alternate air #4 off.
sim/altair/alternate_air_off_5                     Alternate air #5 off.
sim/altair/alternate_air_off_6                     Alternate air #6 off.
sim/altair/alternate_air_off_7                     Alternate air #7 off.
sim/altair/alternate_air_off_8                     Alternate air #8 off.
sim/altair/alternate_air_on_1                      Alternate air #1 on.
sim/altair/alternate_air_on_2                      Alternate air #2 on.
sim/altair/alternate_air_on_3                      Alternate air #3 on.
sim/altair/alternate_air_on_4                      Alternate air #4 on.
sim/altair/alternate_air_on_5                      Alternate air #5 on.
sim/altair/alternate_air_on_6                      Alternate air #6 on.
sim/altair/alternate_air_on_7                      Alternate air #7 on.
sim/altair/alternate_air_on_8                      Alternate air #8 on.
sim/altair/alternate_air_backup_off_1              Alternate air backup #1 off.
sim/altair/alternate_air_backup_off_2              Alternate air backup #2 off.
sim/altair/alternate_air_backup_off_3              Alternate air backup #3 off.
sim/altair/alternate_air_backup_off_4              Alternate air backup #4 off.
sim/altair/alternate_air_backup_off_5              Alternate air backup #5 off.
sim/altair/alternate_air_backup_off_6              Alternate air backup #6 off.
sim/altair/alternate_air_backup_off_7              Alternate air backup #7 off.
sim/altair/alternate_air_backup_off_8              Alternate air backup #8 off.
sim/altair/alternate_air_backup_on_1               Alternate air backup #1 on.
sim/altair/alternate_air_backup_on_2               Alternate air backup #2 on.
sim/altair/alternate_air_backup_on_3               Alternate air backup #3 on.
sim/altair/alternate_air_backup_on_4               Alternate air backup #4 on.
sim/altair/alternate_air_backup_on_5               Alternate air backup #5 on.
sim/altair/alternate_air_backup_on_6               Alternate air backup #6 on.
sim/altair/alternate_air_backup_on_7               Alternate air backup #7 on.
sim/altair/alternate_air_backup_on_8               Alternate air backup #8 on.
sim/engines/fire_ext_1_off                         fire_ext 1 off.
sim/engines/fire_ext_2_off                         fire_ext 2 off.
sim/engines/fire_ext_3_off                         fire_ext 3 off.
sim/engines/fire_ext_4_off                         fire_ext 4 off.
sim/engines/fire_ext_5_off                         fire_ext 5 off.
sim/engines/fire_ext_6_off                         fire_ext 6 off.
sim/engines/fire_ext_7_off                         fire_ext 7 off.
sim/engines/fire_ext_8_off                         fire_ext 8 off.
sim/engines/fire_ext_1_on                          fire_ext 1 on.
sim/engines/fire_ext_2_on                          fire_ext 2 on.
sim/engines/fire_ext_3_on                          fire_ext 3 on.
sim/engines/fire_ext_4_on                          fire_ext 4 on.
sim/engines/fire_ext_5_on                          fire_ext 5 on.
sim/engines/fire_ext_6_on                          fire_ext 6 on.
sim/engines/fire_ext_7_on                          fire_ext 7 on.
sim/engines/fire_ext_8_on                          fire_ext 8 on.
sim/magnetos/magnetos_off                          Magnetos off.
sim/magnetos/magnetos_both                         Magnetos both.
sim/engines/engage_starters                        Engage starters.
sim/engines/throttle_down                          Throttle down a bit.
sim/engines/throttle_up                            Throttle up a bit.
sim/engines/TOGA_power                             Engage TOGA power.
sim/engines/prop_down                              Prop coarse a bit.
sim/engines/prop_up                                Prop fine a bit.
sim/engines/mixture_min                            Mixture to cut off.
sim/engines/mixture_down                           Mixture lean a bit.
sim/engines/mixture_up                             Mixture rich a bit.
sim/engines/mixture_max                            Mixture to full rich.
sim/engines/carb_heat_off                          Carb heat off.
sim/engines/carb_heat_on                           Carb heat on.
sim/engines/carb_heat_toggle                       Carb heat toggle.
sim/fadec/fadec_toggle                             FADEC toggle.
sim/engines/idle_hi_lo_toggle                      Idle Hi-Lo toggle.
sim/engines/governor_on                            Throttle-governor on.
sim/engines/governor_off                           Throttle-governor off.
sim/engines/governor_toggle                        Throttle-governor toggle.
sim/engines/clutch_on                              Clutch on.
sim/engines/clutch_off                             Clutch off.
sim/engines/clutch_toggle                          Clutch toggle.
sim/engines/beta_toggle                            Toggle Beta prop.
sim/engines/thrust_reverse_toggle                  Toggle thrust reversers.
sim/engines/thrust_reverse_hold                    Hold thrust reverse at max.
sim/starters/shut_down                             Pull fuel and mags for shut-down.
sim/flight_controls/flaps_up                       Flaps up a notch.
sim/flight_controls/flaps_down                     Flaps down a notch.
sim/flight_controls/cowl_flaps_open                Move cowl flaps open a bit.
sim/flight_controls/cowl_flaps_closed              Move cowl flaps to closed a bit.
sim/flight_controls/vector_sweep_aft               Vector or sweep aft.
sim/flight_controls/vector_sweep_forward           Vector or sweep forward.
sim/flight_controls/blimp_lift_down                Blimp lift down a bit.
sim/flight_controls/blimp_lift_up                  Blimp lift up a bit.
